Product ID,SKU,Product Name,Category,Sub Category,Brand,Supplier ID,Unit Cost,Selling Price,Profit Margin %,GST %,Weight (Kg),Warranty (Months),Launch Date,Product Status,Created Date,Updated Date
1001,SKU-BEA-SKI-1001,Face Wash,Beauty,Skin Care,Tata,518,581,707.06,21.7,0,2.06,24,2020-12-22,DISCONTINUED,2020-12-22,2023-05-05
1002,SKU-BEA-FRA-1002,Deodorant,Beauty,Fragrance,Asus,529,1286,1586.23,23.35,0,2.3,6,2024-09-27,ACTIVE,2024-09-27,2025-07-08
1003,SKU-GRO-OIL-1003,Sunflower Oil,Grocery,Oil,Tata,530,2296,2726.38,18.74,18,0.33,12,2024-01-21,DISCONTINUED,2024-01-21,2024-08-04
1004,SKU-ELE-TAB-1004,Lenovo Tab,Electronics,Tablets,Nike,541,55819,66915.61,19.88,12,1.83,12,2020-10-19,DISCONTINUED,2020-10-19,2022-09-19
1005,SKU-HOM-COO-1005,Air Conditioner,Home Appliances,Cooling,Asus,503,23173,29437.81,27.03,0,11.07,24,2023-07-12,ACTIVE,2023-07-12,2026-04-29
1006,SKU-FAS-KID-1006,Kids Jeans,Fashion,Kids,Philips,538,1935,2435.39,25.86,5,0.84,0,2020-07-11,ACTIVE,2020-07-11,2022-03-29
1007,SKU-GRO-OIL-1007,Mustard Oil,Grocery,Oil,Apple,544,569,770.72,35.45,28,2.28,36,2023-10-25,ACTIVE,2023-10-25,2024-08-20
1008,SKU-HOM-KIT-1008,Microwave Oven,Home Appliances,Kitchen,Himalaya,533,42409,51301.04,20.97,35,34.79,24,2025-12-12,ACTIVE,2025-12-12,2026-05-14
1009,SKU-ELE-LAP-1009,IdeaPad Slim 5,Electronics,Laptops,OnePlus,506,71699,100006.27,39.48,28,6.17,6,2025-04-30,DISCONTINUED,2025-04-30,2025-07-23
1010,SKU-HOM-COO-1010,Ceiling Fan,Home Appliances,Cooling,Nivea,542,26972,26472.0,28.14,28,21.41,6,2022-07-09,ACTIVE,2022-07-09,2024-05-31
1011,SKU-ELE-MOB-1011,OnePlus 12,Electronics,Mobile Phones,OnePlus,533,39195,48348.72,23.35,18,1.87,6,2025-04-20,ACTIVE,2025-04-20,2026-05-26
1012,SKU-BOO-TEC-1012,SQL Handbook,Books,Technology,Himalaya,542,351,410.03,16.82,12,2.42,0,2022-10-15,ACTIVE,2022-10-15,2023-11-08
1013,SKU-BOO-TEC-1013,Python Programming,Books,Technology,Himalaya,535,-180,259.33,44.07,5,0.58,18,2025-05-25,ACTIVE,2025-05-25,2025-12-16
1014,SKU-FAS-WOM-1014,Saree,Fashion,Women,Nivea,546,2293,2743.43,19.64,12,0.44,0,2020-09-06,ACTIVE,2020-09-06,2021-04-28
1015,SKU-BOO-TEC-1015,Python Programming,Books,Technology,Raymond,505,631,802.08,27.11,28,0.81,24,2020-06-11,DISCONTINUED,2020-06-11,2021-05-12
1016,SKU-HOM-COO-1016,Ceiling Fan,Home Appliances,Cooling,Lenovo,543,44803,55555.68,24.0,12,41.95,0,2020-02-08,ACTIVE,2020-02-08,2026-06-02
1017,SKU-HOM-COO-1017,Ceiling Fan,Home Appliances,Cooling,Dell,529,38100,51856.46,36.11,28,44.31,36,2025-12-06,ACTIVE,2025-12-06,2026-05-25
1018,SKU-ELE-LAP-1018,ThinkPad E14,Electronics,Laptops,LG,539,35607,48613.66,36.53,5,5.56,12,2027-11-09 00:00:00,ACTIVE,2025-09-01,2026-01-07
1019,SKU-HOM-LAU-1019,Washing Machine,Home Appliances,Laundry,Levis,501,9831,11527.57,17.26,5,25.46,12,2021-08-29,ACTIVE,2021-08-29,2022-05-17
1020,SKU-BEA-SKI-1020,Sunscreen,Beauty,Skin Care,Xiaomi,523,1677,2210.23,31.8,18,2.92,36,2021-09-25,ACTIVE,2021-09-25,2022-08-23
1021,SKU-FOO-SAN-1021,Men Sandals,Footwear,Sandals,Sony,511,1285,1625.22,26.48,0,1.76,6,2022-03-28,ACTIVE,2022-03-28,2024-03-13
1022,SKU-BOO-TEC-1022,Spark Essentials,Books,Technology,IFB,542,1193,1514.99,26.99,28,1.06,0,2021-04-17,ACTIVE,2021-04-17,2022-04-17
1023,SKU-FOO-SAN-1023,Men Sandals,Footwear,Sandals,Prestige,537,1957,2400.1,22.64,18,0.3,24,2022-03-18,ACTIVE,2022-03-18,2024-08-17
1024,SKU-FAS-KID-1024,School Uniform,Fashion,Kids,Nivea,527,1636,1136.0,27.07,12,0.9,6,2024-09-18,ACTIVE,2024-09-18,2025-03-15
1025,SKU-GRO-OIL-1025,Groundnut Oil,Grocery,Oil,Nike,529,975,1270.77,30.34,5,2.01,12,2025-10-12,DISCONTINUED,2025-10-12,2026-04-01
1026,SKU-ELE-LAP-1026,Pavilion 15,Electronics,Laptops,Raymond,550,-17545,22573.83,28.66,28,1.72,36,2024-04-21,ACTIVE,2024-04-21,2025-06-04
