Payment ID,Order ID,Payment Date,Payment Method,Payment Amount,Payment Status,Transaction Reference,Bank Name,Created Date,Updated Date
900001,500001,2025-10-28,Wallet,1565.0,SUCCESS,TXN395310485,ICICI Bank,2025-10-28,2026-02-19
900002,500002,2025-07-18,Credit Card,1688.26,SUCCESS,TXN349817734,Kotak Mahindra Bank,2025-07-18,2026-05-22
900003,500003,2026-02-21,Credit Card,5530.8,SUCCESS,TXN849621470,Axis Bank,2026-02-21,2026-05-19
900004,500004,2026-06-12,Cash,26942.33,SUCCESS,TXN384027113,HDFC Bank,2026-06-12,2026-07-28
900005,500005,2026-01-03,Cash,31276.71,SUCCESS,TXN306468299,Punjab National Bank,2026-01-03,2026-01-20
900006,500006,2025-05-23,Net Banking,14845.43,SUCCESS,TXN782560971,State Bank of India,2025-05-23,2025-08-14
900007,500007,2025-08-21,Cash,42151.92,SUCCESS,TXN882893941,ICICI Bank,2025-08-21,2025-11-12
900008,500008,2026-07-16,UPI,22607.94,SUCCESS,TXN345938494,HDFC Bank,2026-07-16,2026-07-26
900009,500009,2026-02-07,Net Banking,50643.82,SUCCESS,TXN790256940,Axis Bank,2026-02-07,2026-03-15
900010,500010,2026-04-21,Debit Card,13353.95,PENDING,TXN335493870,ICICI Bank,2026-04-21,2026-06-25
900011,500011,2026-04-28,UPI,30238.64,SUCCESS,TXN513140753,Axis Bank,2026-04-28,2026-07-13
900012,500012,2026-07-04,Debit Card,43496.98,SUCCESS,TXN925276600,Punjab National Bank,2026-07-04,2026-07-14
900013,500013,2026-04-11,Credit Card,47267.68,SUCCESS,TXN645119047,HDFC Bank,2026-04-11,2026-07-31
900014,500014,2026-07-06,UPI,9971.11,SUCCESS,TXN743111853,State Bank of India,2026-07-06,2026-07-21
900015,500015,2026-07-22,Cash,35116.74,SUCCESS,TXN184564737,HDFC Bank,2026-07-22,2026-07-29
900016,500016,2024-09-26,Debit Card,21463.28,FAILED,TXN666585408,Kotak Mahindra Bank,2024-09-26,2025-12-03
900017,500017,2026-03-07,Wallet,42456.73,SUCCESS,TXN500957212,Axis Bank,2026-03-07,2026-07-17
900018,500018,2024-06-24,UPI,320.18,SUCCESS,TXN860038427,Punjab National Bank,2024-06-24,2024-08-23
900019,500019,2025-03-17,Cash,28696.49,SUCCESS,TXN242068763,Punjab National Bank,2025-03-17,2026-07-08
900020,500020,2026-05-14,Net Banking,28071.87,SUCCESS,TXN480424119,Axis Bank,2026-05-14,2026-07-05
