Order Detail ID,Order ID,Product ID,Quantity,Unit Price,Discount %,Discount Amount,Tax %,Tax Amount,Line Total,Created Date,Updated Date
ORDDET800001,ORD500001,PROD01106,1,1562.47,10,156.25,28,393.74,1799.96,2025-10-16,2026-02-18
ORDDET800002,ORD500002,PROD01020,1,2210.23,0,0.0,18,397.84,2608.07,2025-06-01,2025-07-18
ORDDET800003,ORD500002,PROD01045,5,319.91,15,239.93,5,67.98,1427.6,2025-06-01,2025-09-21
ORDDET800004,ORD500002,PROD01018,4,48613.66,10,19445.46,5,8750.46,183759.64,2025-06-01,2025-10-21
ORDDET800005,ORD500002,PROD01011,3,48348.72,20,29009.23,18,20886.65,136923.58,2025-06-01,2025-10-14
ORDDET800006,ORD500003,PROD01060,3,25310.71,20,15186.43,28,17008.8,77754.5,2026-02-20,2026-05-23
ORDDET800007,ORD500003,PROD01023,1,2400.1,5,120.0,18,410.42,2690.52,2026-02-20,2026-03-17
ORDDET800008,ORD500003,PROD01146,3,60482.56,0,0.0,18,32660.58,214108.26,2026-02-20,2026-07-25
ORDDET800009,ORD500003,PROD01111,5,3126.85,5,781.71,28,4158.71,19011.25,2026-02-20,2026-05-14
ORDDET800010,ORD500003,PROD01164,3,744.78,0,0.0,0,0.0,2234.34,2026-02-20,2026-04-15
ORDDET800011,ORD500004,PROD01012,2,410.03,10,82.01,12,88.57,826.62,2026-04-29,2026-05-16
ORDDET800012,ORD500004,PROD01123,4,30962.55,10,12385.02,12,13375.82,124841.0,2026-04-29,2026-05-27
ORDDET800013,ORD500004,PROD01133,2,6738.07,5,673.81,5,640.12,13442.45,2026-04-29,2026-07-25
ORDDET800014,ORD500004,PROD01193,5,3375.49,0,0.0,28,4725.69,21603.14,2026-04-29,2026-07-25
ORDDET800015,ORD500005,PROD01053,3,1397.31,15,628.79,0,0.0,3563.14,2024-12-29,2025-06-08
ORDDET800016,ORD500006,PROD01017,5,51856.46,0,0.0,28,72599.04,331881.34,2024-08-12,2026-05-14
ORDDET800017,ORD500006,PROD01074,5,1465.09,20,1465.09,5,293.02,6153.38,2024-08-12,2024-08-12
ORDDET800018,ORD500007,PROD01006,2,2435.39,0,0.0,5,243.54,5114.32,2025-05-26,2025-09-26
ORDDET800019,ORD500007,PROD01157,5,777.67,5,194.42,5,184.7,3878.63,2025-05-26,2025-07-30
ORDDET800020,ORD500007,PROD01093,2,875.79,20,350.32,12,168.15,1569.41,2025-05-26,2026-06-16
ORDDET800021,ORD500008,PROD01087,5,1697.74,15,1273.3,5,360.77,7576.17,2024-05-21,2024-09-21
ORDDET800022,ORD500008,PROD01025,1,1270.77,0,0.0,5,63.54,1334.31,2024-05-21,2026-05-15
ORDDET800023,ORD500008,PROD01078,2,1168.71,10,233.74,18,378.66,2482.34,2024-05-21,2026-04-06
ORDDET800024,ORD500008,PROD01134,2,612.18,15,183.65,18,187.33,1228.04,2024-05-21,2025-07-11
ORDDET800025,ORD500009,PROD01090,1,1090.0,0,0.0,0,0.0,1090.0,2024-09-14,2025-10-31
ORDDET800026,ORD500010,PROD01049,4,1084.0,5,216.8,28,1153.38,5272.58,2026-01-09,2026-03-21
ORDDET800027,ORD500010,PROD01193,1,3375.49,0,0.0,28,945.14,4320.63,2026-01-09,2026-06-24
ORDDET800028,ORD500011,PROD01140,4,20263.27,15,12157.96,5,3444.76,72339.88,2025-06-27,2026-02-28
ORDDET800029,ORD500011,PROD01033,3,5723.56,15,2575.6,12,1751.41,16346.49,2025-06-27,2025-11-20
